CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
736,Sudan (Former),Sudanese Pound,IMF based exchange rate,2.17,2.02,2.09,2.30,2.31,,,,,,,,,,,,,
736,Sudan (Former),,Population,"39,968,961","41,152,923","42,441,627","43,812,669","45,160,352",,,,,,,,,,,,,
740,Suriname,Surinam Dollar,AMA exchange rate,2.74,2.75,2.75,2.75,2.75,3.27,3.30,3.30,3.30,3.42,6.23,7.49,7.46,7.46,9.31,18.24,24.71,36.78
740,Suriname,Surinam Dollar,IMF based exchange rate,2.74,2.75,2.75,2.75,2.75,3.27,3.30,3.30,3.30,3.42,6.23,7.49,7.46,7.46,9.31,18.24,24.71,36.78
740,Suriname,,Population,"524,997","531,016","537,245","543,568","549,923","556,269","562,633","569,020","575,373","581,627","587,757","593,713","599,513","605,768","612,317","617,896","623,164","628,886"
752,Sweden,Swedish Krona,AMA exchange rate,7.38,6.76,6.59,7.65,7.21,6.49,6.78,6.51,6.86,8.43,8.56,8.55,8.69,9.46,9.21,8.58,10.11,10.61
752,Sweden,Swedish Krona,IMF based exchange rate,7.38,6.76,6.59,7.65,7.21,6.49,6.78,6.51,6.86,8.43,8.56,8.55,8.69,9.46,9.21,8.58,10.11,10.61
752,Sweden,,Population,"9,080,623","9,148,274","9,219,900","9,298,740","9,378,232","9,449,259","9,519,487","9,600,620","9,696,433","9,799,481","9,923,280","10,057,862","10,175,405","10,279,125","10,353,686","10,416,131","10,487,338","10,551,494"
756,Switzerland,Swiss Franc,AMA exchange rate,1.25,1.20,1.08,1.09,1.04,0.89,0.94,0.93,0.92,0.96,0.99,0.98,0.98,0.99,0.94,0.91,0.95,0.90
756,Switzerland,Swiss Franc,IMF based exchange rate,1.25,1.20,1.08,1.09,1.04,0.89,0.94,0.93,0.92,0.96,0.99,0.98,0.98,0.99,0.94,0.91,0.95,0.90
756,Switzerland,,Population,"7,478,509","7,545,381","7,641,728","7,737,645","7,825,753","7,914,372","7,998,926","8,091,202","8,190,235","8,283,934","8,374,901","8,453,628","8,516,344","8,577,524","8,640,582","8,707,023","8,792,182","8,870,561"
760,Syrian Arab Republic,Syrian Pound,AMA exchange rate,52.14,50.18,46.58,46.58,46.17,48.34,64.58,108.73,154.13,237.03,460.28,492.61,436.50,436.50,877.95,"1,256.00","2,505.75","7,411.65"
760,Syrian Arab Republic,Syrian Pound,IMF based exchange rate,11.23,11.23,11.23,11.23,11.23,48.34,64.58,108.73,154.13,237.03,460.28,492.61,436.50,436.50,877.95,"1,256.00","2,505.75","7,411.65"
760,Syrian Arab Republic,,Population,"19,637,022","20,884,125","21,636,564","21,976,969","22,482,421","22,878,098","22,759,763","21,666,917","20,273,659","19,424,618","19,193,834","19,224,668","19,577,845","20,353,534","21,049,429","21,628,839","22,462,173","23,594,623"
762,Tajikistan,Somoni,AMA exchange rate,3.30,3.44,3.43,4.14,4.38,4.61,4.74,4.76,4.94,6.16,7.84,8.55,9.15,9.53,10.32,11.31,11.03,10.84
